state,date,sex,ethnicity,abs
Johor,2000-01-01,both,overall,67183
Johor,2001-01-01,both,overall,61432
Johor,2002-01-01,both,overall,59699
Johor,2003-01-01,both,overall,58230
Johor,2004-01-01,both,overall,57339
Johor,2005-01-01,both,overall,56524
Johor,2006-01-01,both,overall,56737
Johor,2007-01-01,both,overall,57780
Johor,2008-01-01,both,overall,57838
Johor,2009-01-01,both,overall,57849
Johor,2010-01-01,both,overall,56064
Johor,2011-01-01,both,overall,58167
Johor,2012-01-01,both,overall,60444
Johor,2013-01-01,both,overall,57402
Johor,2014-01-01,both,overall,60443
Johor,2015-01-01,both,overall,60543
Johor,2016-01-01,both,overall,59561
Johor,2017-01-01,both,overall,61085
Johor,2018-01-01,both,overall,61084
Johor,2019-01-01,both,overall,60261
Johor,2020-01-01,both,overall,56908
Johor,2021-01-01,both,overall,49990
Johor,2022-01-01,both,overall,48254
Kedah,2000-01-01,both,overall,41014
Kedah,2001-01-01,both,overall,38073
Kedah,2002-01-01,both,overall,36604
Kedah,2003-01-01,both,overall,35407
Kedah,2004-01-01,both,overall,35059
Kedah,2005-01-01,both,overall,34254
Kedah,2006-01-01,both,overall,33864
Kedah,2007-01-01,both,overall,33963
Kedah,2008-01-01,both,overall,35415
Kedah,2009-01-01,both,overall,36019
Kedah,2010-01-01,both,overall,35128
Kedah,2011-01-01,both,overall,35937
Kedah,2012-01-01,both,overall,36390
Kedah,2013-01-01,both,overall,35032
Kedah,2014-01-01,both,overall,36505
Kedah,2015-01-01,both,overall,36784
Kedah,2016-01-01,both,overall,35967
Kedah,2017-01-01,both,overall,36693
Kedah,2018-01-01,both,overall,35643
Kedah,2019-01-01,both,overall,34511
Kedah,2020-01-01,both,overall,33828
Kedah,2021-01-01,both,overall,33040
Kedah,2022-01-01,both,overall,30796
Kelantan,2000-01-01,both,overall,40404
Kelantan,2001-01-01,both,overall,38186
Kelantan,2002-01-01,both,overall,37297
Kelantan,2003-01-01,both,overall,35686
Kelantan,2004-01-01,both,overall,35113
Kelantan,2005-01-01,both,overall,34088
Kelantan,2006-01-01,both,overall,33659
Kelantan,2007-01-01,both,overall,33800
Kelantan,2008-01-01,both,overall,34842
Kelantan,2009-01-01,both,overall,35715
Kelantan,2010-01-01,both,overall,36009
Kelantan,2011-01-01,both,overall,37679
Kelantan,2012-01-01,both,overall,37025
Kelantan,2013-01-01,both,overall,36413
Kelantan,2014-01-01,both,overall,39279
Kelantan,2015-01-01,both,overall,39108
Kelantan,2016-01-01,both,overall,38455
Kelantan,2017-01-01,both,overall,39122
Kelantan,2018-01-01,both,overall,38360
Kelantan,2019-01-01,both,overall,36858
Kelantan,2020-01-01,both,overall,36275
Kelantan,2021-01-01,both,overall,34764
Kelantan,2022-01-01,both,overall,33808
Melaka,2000-01-01,both,overall,15304
Melaka,2001-01-01,both,overall,14317
Melaka,2002-01-01,both,overall,13810
