State,Date,Year,Sex,Ethnicity,NumberOfBirth,NumberOfDeath
Johor,01/01/2012,2012,Both,Overall,60444,17201
Johor,01/01/2013,2013,Both,Overall,57402,17696
Johor,01/01/2014,2014,Both,Overall,60443,17904
Johor,01/01/2015,2015,Both,Overall,60543,18853
Johor,01/01/2016,2016,Both,Overall,59561,19924
Johor,01/01/2017,2017,Both,Overall,61085,20662
Johor,01/01/2018,2018,Both,Overall,61084,21117
Johor,01/01/2019,2019,Both,Overall,60261,21799
Johor,01/01/2020,2020,Both,Overall,56908,20646
Johor,01/01/2021,2021,Both,Overall,49990,26951
Johor,01/01/2022,2022,Both,Overall,48254,25305
Kedah,01/01/2012,2012,Both,Overall,36390,12268
Kedah,01/01/2013,2013,Both,Overall,35032,12516
Kedah,01/01/2014,2014,Both,Overall,36505,13017
Kedah,01/01/2015,2015,Both,Overall,36784,13674
Kedah,01/01/2016,2016,Both,Overall,35967,13771
Kedah,01/01/2017,2017,Both,Overall,36693,14332
Kedah,01/01/2018,2018,Both,Overall,35643,14552
Kedah,01/01/2019,2019,Both,Overall,34511,14302
Kedah,01/01/2020,2020,Both,Overall,33828,13671
Kedah,01/01/2021,2021,Both,Overall,33040,18457
Kedah,01/01/2022,2022,Both,Overall,30796,17628
Kelantan,01/01/2012,2012,Both,Overall,37025,9890
Kelantan,01/01/2013,2013,Both,Overall,36413,10042
Kelantan,01/01/2014,2014,Both,Overall,39279,10588
Kelantan,01/01/2015,2015,Both,Overall,39108,10789
Kelantan,01/01/2016,2016,Both,Overall,38455,10809
Kelantan,01/01/2017,2017,Both,Overall,39122,11203
Kelantan,01/01/2018,2018,Both,Overall,38360,11316
Kelantan,01/01/2019,2019,Both,Overall,36858,11410
Kelantan,01/01/2020,2020,Both,Overall,36275,10928
Kelantan,01/01/2021,2021,Both,Overall,34764,13926
Kelantan,01/01/2022,2022,Both,Overall,33808,13445
Melaka,01/01/2012,2012,Both,Overall,14278,4575
Melaka,01/01/2013,2013,Both,Overall,13692,4747
Melaka,01/01/2014,2014,Both,Overall,14568,4728
Melaka,01/01/2015,2015,Both,Overall,14554,4959
Melaka,01/01/2016,2016,Both,Overall,14402,5186
Melaka,01/01/2017,2017,Both,Overall,14389,5523
Melaka,01/01/2018,2018,Both,Overall,14388,5407
Melaka,01/01/2019,2019,Both,Overall,14136,5547
Melaka,01/01/2020,2020,Both,Overall,13855,5444
Melaka,01/01/2021,2021,Both,Overall,13192,7083
Melaka,01/01/2022,2022,Both,Overall,13105,6630
Negeri Sembilan,01/01/2012,2012,Both,Overall,17903,5895
Negeri Sembilan,01/01/2013,2013,Both,Overall,17509,6213
Negeri Sembilan,01/01/2014,2014,Both,Overall,18676,6410
Negeri Sembilan,01/01/2015,2015,Both,Overall,18423,6611
Negeri Sembilan,01/01/2016,2016,Both,Overall,18036,6810
Negeri Sembilan,01/01/2017,2017,Both,Overall,18078,7111
Negeri Sembilan,01/01/2018,2018,Both,Overall,18177,7298
Negeri Sembilan,01/01/2019,2019,Both,Overall,17464,7168
Negeri Sembilan,01/01/2020,2020,Both,Overall,17120,7011
Negeri Sembilan,01/01/2021,2021,Both,Overall,16777,9165
Negeri Sembilan,01/01/2022,2022,Both,Overall,15991,8636
Pahang,01/01/2012,2012,Both,Overall,27411,7791
Pahang,01/01/2013,2013,Both,Overall,26968,8146
Pahang,01/01/2014,2014,Both,Overall,28743,8301
Pahang,01/01/2015,2015,Both,Overall,28059,8471
Pahang,01/01/2016,2016,Both,Overall,27626,8878
Pahang,01/01/2017,2017,Both,Overall,27555,9261
Pahang,01/01/2018,2018,Both,Overall,27006,9246
Pahang,01/01/2019,2019,Both,Overall,25887,9179
Pahang,01/01/2020,2020,Both,Overall,25344,8686
Pahang,01/01/2021,2021,Both,Overall,24507,10366
Pahang,01/01/2022,2022,Both,Overall,23568,11022
Perak,01/01/2012,2012,Both,Overall,37712,16395
Perak,01/01/2013,2013,Both,Overall,35427,16386
Perak,01/01/2014,2014,Both,Overall,36586,16925
Perak,01/01/2015,2015,Both,Overall,36284,17159
Perak,01/01/2016,2016,Both,Overall,35685,17820
Perak,01/01/2017,2017,Both,Overall,34838,18047
Perak,01/01/2018,2018,Both,Overall,33869,18600
Perak,01/01/2019,2019,Both,Overall,33005,18740
Perak,01/01/2020,2020,Both,Overall,31582,17946
Perak,01/01/2021,2021,Both,Overall,30816,21303
Perak,01/01/2022,2022,Both,Overall,29543,22341
Perlis,01/01/2012,2012,Both,Overall,4143,1655
Perlis,01/01/2013,2013,Both,Overall,4050,1741
Perlis,01/01/2014,2014,Both,Overall,4509,1671
Perlis,01/01/2015,2015,Both,Overall,4315,1767
Perlis,01/01/2016,2016,Both,Overall,4392,1884
Perlis,01/01/2017,2017,Both,Overall,4447,2004
Perlis,01/01/2018,2018,Both,Overall,4371,2042
Perlis,01/01/2019,2019,Both,Overall,4060,1996
Perlis,01/01/2020,2020,Both,Overall,4101,1950
Perlis,01/01/2021,2021,Both,Overall,4076,2234
Perlis,01/01/2022,2022,Both,Overall,3746,2422
Pulau Pinang,01/01/2012,2012,Both,Overall,23794,9133
Pulau Pinang,01/01/2013,2013,Both,Overall,21499,9538
Pulau Pinang,01/01/2014,2014,Both,Overall,22877,9678
Pulau Pinang,01/01/2015,2015,Both,Overall,22242,10226
Pulau Pinang,01/01/2016,2016,Both,Overall,21781,10729
Pulau Pinang,01/01/2017,2017,Both,Overall,21464,10727
Pulau Pinang,01/01/2018,2018,Both,Overall,20705,11209
Pulau Pinang,01/01/2019,2019,Both,Overall,20200,10896
Pulau Pinang,01/01/2020,2020,Both,Overall,19645,10701
Pulau Pinang,01/01/2021,2021,Both,Overall,18571,13978
Pulau Pinang,01/01/2022,2022,Both,Overall,17731,12920
