State,Date,Year,Sex,Ethnicity,NumberOfPeople,Type
Johor,01/01/2012,2012,Male,Overall,9989,Death
Johor,01/01/2013,2013,Male,Overall,10361,Death
Johor,01/01/2014,2014,Male,Overall,10517,Death
Johor,01/01/2015,2015,Male,Overall,11045,Death
Johor,01/01/2016,2016,Male,Overall,11674,Death
Johor,01/01/2017,2017,Male,Overall,12076,Death
Johor,01/01/2018,2018,Male,Overall,12384,Death
Johor,01/01/2019,2019,Male,Overall,12760,Death
Johor,01/01/2020,2020,Male,Overall,12194,Death
Johor,01/01/2021,2021,Male,Overall,15549,Death
Johor,01/01/2022,2022,Male,Overall,14618,Death
Johor,01/01/2012,2012,Female,Overall,7212,Death
Johor,01/01/2013,2013,Female,Overall,7335,Death
Johor,01/01/2014,2014,Female,Overall,7387,Death
Johor,01/01/2015,2015,Female,Overall,7808,Death
Johor,01/01/2016,2016,Female,Overall,8250,Death
Johor,01/01/2017,2017,Female,Overall,8586,Death
Johor,01/01/2018,2018,Female,Overall,8733,Death
Johor,01/01/2019,2019,Female,Overall,9039,Death
Johor,01/01/2020,2020,Female,Overall,8452,Death
Johor,01/01/2021,2021,Female,Overall,11402,Death
Johor,01/01/2022,2022,Female,Overall,10687,Death
Kedah,01/01/2012,2012,Male,Overall,7059,Death
Kedah,01/01/2013,2013,Male,Overall,7096,Death
Kedah,01/01/2014,2014,Male,Overall,7404,Death
Kedah,01/01/2015,2015,Male,Overall,7733,Death
Kedah,01/01/2016,2016,Male,Overall,7734,Death
Kedah,01/01/2017,2017,Male,Overall,8049,Death
Kedah,01/01/2018,2018,Male,Overall,8216,Death
Kedah,01/01/2019,2019,Male,Overall,8031,Death
Kedah,01/01/2020,2020,Male,Overall,7694,Death
Kedah,01/01/2021,2021,Male,Overall,10068,Death
Kedah,01/01/2022,2022,Male,Overall,9792,Death
Kedah,01/01/2012,2012,Female,Overall,5209,Death
Kedah,01/01/2013,2013,Female,Overall,5420,Death
Kedah,01/01/2014,2014,Female,Overall,5613,Death
Kedah,01/01/2015,2015,Female,Overall,5941,Death
Kedah,01/01/2016,2016,Female,Overall,6037,Death
Kedah,01/01/2017,2017,Female,Overall,6283,Death
Kedah,01/01/2018,2018,Female,Overall,6336,Death
Kedah,01/01/2019,2019,Female,Overall,6271,Death
Kedah,01/01/2020,2020,Female,Overall,5977,Death
Kedah,01/01/2021,2021,Female,Overall,8389,Death
Kedah,01/01/2022,2022,Female,Overall,7836,Death
Kelantan,01/01/2012,2012,Male,Overall,5589,Death
Kelantan,01/01/2013,2013,Male,Overall,5635,Death
Kelantan,01/01/2014,2014,Male,Overall,5958,Death
Kelantan,01/01/2015,2015,Male,Overall,6087,Death
Kelantan,01/01/2016,2016,Male,Overall,6111,Death
Kelantan,01/01/2017,2017,Male,Overall,6284,Death
Kelantan,01/01/2018,2018,Male,Overall,6332,Death
Kelantan,01/01/2019,2019,Male,Overall,6446,Death
Kelantan,01/01/2020,2020,Male,Overall,6236,Death
Kelantan,01/01/2021,2021,Male,Overall,7605,Death
Kelantan,01/01/2022,2022,Male,Overall,7411,Death
Kelantan,01/01/2012,2012,Female,Overall,4301,Death
Kelantan,01/01/2013,2013,Female,Overall,4407,Death
Kelantan,01/01/2014,2014,Female,Overall,4630,Death
Kelantan,01/01/2015,2015,Female,Overall,4702,Death
Kelantan,01/01/2016,2016,Female,Overall,4698,Death
Kelantan,01/01/2017,2017,Female,Overall,4919,Death
Kelantan,01/01/2018,2018,Female,Overall,4984,Death
Kelantan,01/01/2019,2019,Female,Overall,4964,Death
Kelantan,01/01/2020,2020,Female,Overall,4692,Death
Kelantan,01/01/2021,2021,Female,Overall,6321,Death
Kelantan,01/01/2022,2022,Female,Overall,6034,Death
Melaka,01/01/2012,2012,Male,Overall,2588,Death
Melaka,01/01/2013,2013,Male,Overall,2669,Death
Melaka,01/01/2014,2014,Male,Overall,2719,Death
Melaka,01/01/2015,2015,Male,Overall,2778,Death
Melaka,01/01/2016,2016,Male,Overall,2915,Death
Melaka,01/01/2017,2017,Male,Overall,3092,Death
Melaka,01/01/2018,2018,Male,Overall,3079,Death
Melaka,01/01/2019,2019,Male,Overall,3088,Death
Melaka,01/01/2020,2020,Male,Overall,3072,Death
Melaka,01/01/2021,2021,Male,Overall,3921,Death
Melaka,01/01/2022,2022,Male,Overall,3669,Death
Melaka,01/01/2012,2012,Female,Overall,1987,Death
Melaka,01/01/2013,2013,Female,Overall,2078,Death
Melaka,01/01/2014,2014,Female,Overall,2009,Death
Melaka,01/01/2015,2015,Female,Overall,2181,Death
Melaka,01/01/2016,2016,Female,Overall,2271,Death
Melaka,01/01/2017,2017,Female,Overall,2431,Death
Melaka,01/01/2018,2018,Female,Overall,2328,Death
Melaka,01/01/2019,2019,Female,Overall,2459,Death
Melaka,01/01/2020,2020,Female,Overall,2372,Death
Melaka,01/01/2021,2021,Female,Overall,3162,Death
Melaka,01/01/2022,2022,Female,Overall,2961,Death
Negeri Sembilan,01/01/2012,2012,Male,Overall,3376,Death
Negeri Sembilan,01/01/2013,2013,Male,Overall,3629,Death
Negeri Sembilan,01/01/2014,2014,Male,Overall,3681,Death
