State,Date,Sex,Ethnicity,NumberOfDeath,NumberOfBirth,Area
Johor,01/01/2022,Both,Overall,25305,48254,19210
Kedah,01/01/2022,Both,Overall,17628,30796,9500
Kelantan,01/01/2022,Both,Overall,13445,33808,15099
Melaka,01/01/2022,Both,Overall,6630,13105,1664
Negeri Sembilan,01/01/2022,Both,Overall,8636,15991,6686
Pahang,01/01/2022,Both,Overall,11022,23568,36137
Perak,01/01/2022,Both,Overall,22341,29543,21035
Perlis,01/01/2022,Both,Overall,2422,3746,821
Pulau Pinang,01/01/2022,Both,Overall,12920,17731,1048
Sabah,01/01/2022,Both,Overall,17395,43617,72631
Sarawak,01/01/2022,Both,Overall,16627,30937,124450
Selangor,01/01/2022,Both,Overall,32861,83658,8104
Terengganu,01/01/2022,Both,Overall,8686,25304,13035
W.P. Kuala Lumpur,01/01/2022,Both,Overall,9962,19853,243
W.P. Labuan,01/01/2022,Both,Overall,392,1374,91
W.P. Putrajaya,01/01/2022,Both,Overall,253,1839,49
