State,Date,Year,Ethnicity,NumberOfPeople,Category
Johor,01/01/2012,2012,Bumi Malay,9622,Death
Johor,01/01/2013,2013,Bumi Malay,9858,Death
Johor,01/01/2014,2014,Bumi Malay,9875,Death
Johor,01/01/2015,2015,Bumi Malay,10474,Death
Johor,01/01/2016,2016,Bumi Malay,11156,Death
Johor,01/01/2017,2017,Bumi Malay,11547,Death
Johor,01/01/2018,2018,Bumi Malay,11812,Death
Johor,01/01/2019,2019,Bumi Malay,12162,Death
Johor,01/01/2020,2020,Bumi Malay,11476,Death
Johor,01/01/2021,2021,Bumi Malay,15290,Death
Johor,01/01/2022,2022,Bumi Malay,14317,Death
Kedah,01/01/2012,2012,Bumi Malay,9377,Death
Kedah,01/01/2013,2013,Bumi Malay,9573,Death
Kedah,01/01/2014,2014,Bumi Malay,9977,Death
Kedah,01/01/2015,2015,Bumi Malay,10521,Death
Kedah,01/01/2016,2016,Bumi Malay,10631,Death
Kedah,01/01/2017,2017,Bumi Malay,11161,Death
Kedah,01/01/2018,2018,Bumi Malay,11292,Death
Kedah,01/01/2019,2019,Bumi Malay,10974,Death
Kedah,01/01/2020,2020,Bumi Malay,10540,Death
Kedah,01/01/2021,2021,Bumi Malay,14314,Death
Kedah,01/01/2022,2022,Bumi Malay,13747,Death
Kelantan,01/01/2012,2012,Bumi Malay,9214,Death
Kelantan,01/01/2013,2013,Bumi Malay,9386,Death
Kelantan,01/01/2014,2014,Bumi Malay,9912,Death
Kelantan,01/01/2015,2015,Bumi Malay,10168,Death
Kelantan,01/01/2016,2016,Bumi Malay,10125,Death
Kelantan,01/01/2017,2017,Bumi Malay,10483,Death
Kelantan,01/01/2018,2018,Bumi Malay,10582,Death
Kelantan,01/01/2019,2019,Bumi Malay,10674,Death
Kelantan,01/01/2020,2020,Bumi Malay,10228,Death
Kelantan,01/01/2021,2021,Bumi Malay,13041,Death
Kelantan,01/01/2022,2022,Bumi Malay,12602,Death
Melaka,01/01/2012,2012,Bumi Malay,2778,Death
Melaka,01/01/2013,2013,Bumi Malay,2868,Death
Melaka,01/01/2014,2014,Bumi Malay,2874,Death
Melaka,01/01/2015,2015,Bumi Malay,2993,Death
Melaka,01/01/2016,2016,Bumi Malay,3125,Death
Melaka,01/01/2017,2017,Bumi Malay,3303,Death
Melaka,01/01/2018,2018,Bumi Malay,3312,Death
Melaka,01/01/2019,2019,Bumi Malay,3379,Death
Melaka,01/01/2020,2020,Bumi Malay,3244,Death
Melaka,01/01/2021,2021,Bumi Malay,4387,Death
Melaka,01/01/2022,2022,Bumi Malay,4060,Death
Negeri Sembilan,01/01/2012,2012,Bumi Malay,3172,Death
Negeri Sembilan,01/01/2013,2013,Bumi Malay,3333,Death
Negeri Sembilan,01/01/2014,2014,Bumi Malay,3441,Death
Negeri Sembilan,01/01/2015,2015,Bumi Malay,3598,Death
Negeri Sembilan,01/01/2016,2016,Bumi Malay,3683,Death
